1,1,0.332129964,0.936363636,0.422330097,1270.698131,30023.4386
1,10,0.270758123,1,0.099090909,3600.104518,35302.51918
1,100,0.277978339,1,0.097727273,3600.37707,84664.10495
1,1000,0.292418773,1,0.094090909,3600.020847,584865.8019
1,10000,0.270758123,1,0.1,3600.469044,5680945.562
1,100000,0.296028881,1,0.100909091,3600.450702,57655487.46
1,1000000,0.288808664,1,0.091363636,3600.755024,594375913.3
1,10000000,0.274368231,1,0.093181818,3601.160383,6069718469
1,100000000,0.292418773,1,0.091818182,3600.372077,61876590654
10,1,0.328519856,0.772727273,0.316470588,2403.65364,30257.28352
10,10,0.231046931,1,0.092727273,3600.392714,35714.77376
10,100,0.25631769,1,0.091363636,3600.560979,85467.69204
10,1000,0.274368231,1,0.094090909,3600.474319,599506.8748
10,10000,0.274368231,1,0.107272727,3600.838001,5879561.492
10,100000,0.292418773,1,0.090454545,3600.910447,60224985.42
10,1000000,0.292418773,1,0.09,3600.942831,617829276
10,10000000,0.299638989,1,0.088636364,3601.111538,6412205885
10,100000000,0.310469314,1,0.093181818,3600.5024,65724338632
100,1,0.332129964,0.263636364,0.324137931,3600.110354,32136.02843
100,10,0.267148014,1,0.105,3600.030435,39587.15474
100,100,0.249097473,1,0.094090909,3600.03451,88395.55587
100,1000,0.274368231,1,0.093181818,3600.013892,577761.289
100,10000,0.285198556,1,0.099545455,3600.129443,5466287.776
100,100000,0.267148014,1,0.104545455,3600.031303,54324373.6
100,1000000,0.292418773,1,0.095,3600.042999,542714827.5
100,10000000,0.292418773,1,0.094090909,3600.059277,5426755453
100,100000000,0.292418773,1,0.094545455,3600.071085,54267434498
1000,1,0.332129964,0.236363636,0.253846154,3600.105917,50266.23526
1000,10,0.292418773,0.518181818,0.35,3600.060799,69613.38093
1000,100,0.274368231,1,0.103181818,3600.139897,127603.9006
1000,1000,0.245487365,1,0.089545455,3600.036822,616157.8924
1000,10000,0.263537906,1,0.095909091,3600.088396,5501004.97
1000,100000,0.270758123,1,0.104090909,3600.056513,54359891.28
1000,1000000,0.267148014,1,0.104090909,3600.13883,542919753.6
1000,10000000,0.288808664,1,0.093636364,3600.119428,5426184590
1000,100000000,0.288808664,1,0.092272727,3600.076755,54260790644
10000,1,0.328519856,0.272727273,0.32,3600.046764,233260.7137
10000,10,0.324909747,0.281818182,0.264516129,3600.043247,268780.0141
10000,100,0.353790614,0.554545455,0.32295082,3600.125239,435275.1096
10000,1000,0.285198556,1,0.109090909,3600.101389,1010123.202
10000,10000,0.25631769,1,0.097727273,3600.081047,5882133.985
10000,100000,0.245487365,1,0.096363636,3600.105114,54659360.78
10000,1000000,0.274368231,1,0.103181818,3600.005202,543328868.6
10000,10000000,0.267148014,1,0.102272727,3600.046406,5429205709
10000,100000000,0.292418773,1,0.096818182,3600.059936,54264022702
100000,1,0.332129964,0.336363636,0.377027027,3600.23272,2097241.229
100000,10,0.321299639,0.354545455,0.361538462,3600.354618,2182512.331
100000,100,0.314079422,0.481818182,0.366981132,3600.43849,2617697.883
100000,1000,0.274368231,0.845454545,0.301075269,3600.165337,4358954.382
100000,10000,0.249097473,1,0.097272727,3600.023911,10121201.87
100000,100000,0.285198556,1,0.087272727,3600.61673,61532614.58
100000,1000000,0.270758123,1,0.095,3600.238949,586446611.7
100000,10000000,0.270758123,1,0.089545455,3600.894228,5918364313
100000,100000000,0.267148014,1,0.097272727,3600.757489,60025095843
1000000,1,0.328519856,0.345454545,0.409210526,3600.099578,20622154.68
1000000,10,0.353790614,0.345454545,0.330263158,3600.034024,21159333.29
1000000,100,0.371841155,0.390909091,0.359302326,3600.101896,21968479.43
1000000,1000,0.303249097,0.472727273,0.365384615,3600.462688,26089900.9
1000000,10000,0.328519856,0.881818182,0.316494845,3600.48857,43321069.39
1000000,100000,0.267148014,1,0.100909091,3600.572935,101499895.9
1000000,1000000,0.285198556,1,0.09,3600.490671,622237304.9
1000000,10000000,0.267148014,1,0.094545455,3600.927492,5944882626
1000000,100000000,0.274368231,1,0.089545455,3600.671999,59712897848
10000000,1,0.332129964,0.345454545,0.407894737,3600.185901,206367670.8
10000000,10,0.332129964,0.390909091,0.327906977,3600.239314,214813780.6
10000000,100,0.36101083,0.454545455,0.38,3600.473369,222899731.1
10000000,1000,0.371841155,0.436363636,0.389583333,3600.256703,222128153.3
10000000,10000,0.342960289,0.5,0.392727273,3600.150121,260077750.2
10000000,100000,0.314079422,0.918181818,0.297524752,3600.389272,441219248.6
10000000,1000000,0.259927798,1,0.098181818,3600.89733,1024969313
10000000,10000000,0.277978339,1,0.085454545,3600.794885,6304737369
10000000,100000000,0.277978339,1,0.094090909,3601.093207,60329248526
100000000,1,0.339350181,0.345454545,0.388157895,3600.115609,2066155108
100000000,10,0.339350181,0.345454545,0.381578947,3600.113829,2067590763
100000000,100,0.364620939,0.327272727,0.338888889,3600.056234,2073355157
100000000,1000,0.371841155,0.309090909,0.357352941,3600.081978,2055101339
100000000,10000,0.339350181,0.318181818,0.375714286,3600.169084,2105356971
100000000,100000,0.36101083,0.336363636,0.352702703,3600.159731,2432941721
100000000,1000000,0.321299639,0.609090909,0.314179104,3600.182605,4095095595
100000000,10000000,0.274368231,1,0.100909091,3600.055028,9788280627
100000000,100000000,0.274368231,1,0.090909091,3600.134694,58604500019
