C01152_3.Methylhistidine
C00327_Citrulline
C00020_AMP
C00408_Pipecolate
C00037_Gly
C01026_N.N.Dimethylglycine
C00612_N1.Acetylspermidine
C00082_Tyr
C00099_beta.Ala
C00334_GABA
N1.N8.Diacetylspermidine
C00431_5.Aminovalerate
C00025_Glu
C00318_Carnitine
C00079_Phe
C02571_o.Acetylcarnitine
C00993_Ala.Ala
C00134_Putrescine
C00123_Leu
C00049_Asp
C00407_Ile
C02714_N.Acetylputrescine
C00183_Val
C00300_Creatine
C00294_Inosine
C00188_Thr
C00429_Dihydrouracil
C00791_Creatinine
C00437_N.Acetylornithine
C16741_5.Hydroxylysine
C00388_Histamine
C00064_Gln
C02997_N.Acetylhistidine
C00711_Malate
C00449_Saccharopine
C04501_N.Acetylglucosamine.1.phosphate
C00065_Ser
C00315_Spermidine
C08261_Azelate
C00019_SAM.
C00147_Adenine
C08262_Isovalerate
C00163_Propionate
SDMA
C00170_5.Methylthioadenosine
C10172_Proline.betaine
C00105_UMP
C00135_His
C00386_Carnosine
C00148_Pro
C03413_N1.N12.Diacetylspermine
C05135_4..beta.Acetylaminoethyl.imidazole
C00430_5.Aminolevulinate
C00719_Betaine
C03406_Argininosuccinate
C00073_Met
C05635_5.Hydroxyindoleacetate
C05771_Isopropanolamine
C01672_Cadaverine
C00534_Pyridoxamine
C01879_5.Oxoproline
C02356_2AB
C00489_Glutarate
C00114_Choline
C00003_NAD.
C00213_Sarcosine
C01029_N8.Acetylspermidine
C01015_Hydroxyproline
C00077_Ornithine
C00062_Arg
C00847_4.Pyridoxate
C00078_Trp
C02630_2.Hydroxyglutarate
C00387_Guanosine
C00140_N.Acetylglucosamine
C00041_Ala
C02989_Methionine.sulfoxide
C00042_Succinate
C00212_Adenosine
C00263_Homoserine
C00152_Asn
C02727_N.epsilon.Acetyllysine
C03793_N6.N6.N6.Trimethyllysine
C00956_alpha.Aminoadipate
C00179_Agmatine
C00178_Thymine
C00245_Taurine
X_DCA
C06772_Diethanolamine
C00047_Lys
C02678_Dodecanedioate
C01585_Hexanoate
C00695_Cholate
C00624_N.Acetylglutamate
C01181_gamma.Butyrobetaine
C00483_Tyramine
C00186_Lactate
C00043_UDP.N.acetylglucosamine
C05145_3.Aminoisobutyrate
C00475_Cytidine
C00803_Valerate
C00086_Urea
C00246_Butyrate
C00153_Nicotinamide
C03139_Guanidinosuccinate
C02614_Citramalate
C01042_N.Acetylaspartate
C02242_7.Methylguanine
C03626_ADMA
C02155_Gly.Leu
