0.077281299,0.06648589,0.195679714,0.603287843,0.564621711
0.08061119,0.072875692,0.190462941,0.399177829,0.653113321
0.057329679,0.055132637,0.275066262,0.96771247,4.018052082
0.074434394,0.062485736,0.226380567,0.659543055,2.062353524
0.062002623,0.060679797,0.219104595,0.435908589,0.483740907
0.071786624,0.063777161,0.197734233,0.329874047,0.676137967
0.071053286,0.062680946,0.337605576,0.95285914,0.775092322
0.056485053,0.053931453,0.263449229,0.435729922,0.895503921
0.081021813,0.073252035,0.191339943,0.552256297,0.464113145
0.076501101,0.068637001,0.228967907,0.62082514,1.590717289
