Methods,median value,IQR of values,median time (IQR)
BOOOM,0.0731,0.0153,3601.03 (1.35)
BOOOM parallel,0.0632,0.0080,2986.19 (1256.47)
AccAlt_projection,0.2227,0.0678,0.00 (0.00)
GoDec+,0.5778,0.2238,0.00 (0.00)
LRSD TNNSR,0.7256,1.0261,0.45 (0.09)
