3600.007602,3600.336672,0.001384,0.023156,0.222983
3600.039947,3600.402266,0.000683,0.002823,0.114961
3008.238359,3600.582716,0.001014,0.00529,0.137593
3600.208801,3600.243566,0.001176,0.002718,0.116511
3600.061805,3600.094772,0.001765,0.005158,0.134759
3600.131392,3600.169634,0.001901,0.001664,0.146085
3234.286648,3600.053716,0.000796,0.002341,0.103571
2633.222333,3600.514276,0.000619,0.004437,0.124002
3600.065079,3600.24381,0.001425,0.001867,0.121499
3600.058994,3600.017016,0.000638,0.004119,0.13421
