"C00147_Adenine"
"C00212_Adenosine"
"C03626_ADMA"
"C00179_Agmatine"
"C00041_Ala"
"C00993_Ala.Ala"
"C00956_alpha.Aminoadipate"
"C00020_AMP"
"C00062_Arg"
"C03406_Argininosuccinate"
"C00152_Asn"
"C00049_Asp"
"C08261_Azelate"
"C00099_beta.Ala"
"C00719_Betaine"
"C00246_Butyrate"
"C01672_Cadaverine"
"C00318_Carnitine"
"C00386_Carnosine"
"C00695_Cholate"
"C00114_Choline"
"C02614_Citramalate"
"C00327_Citrulline"
"C00300_Creatine"
"C00791_Creatinine"
"C00475_Cytidine"
"X_DCA"
"C06772_Diethanolamine"
"C00429_Dihydrouracil"
"C02678_Dodecanedioate"
"C00334_GABA"
"C01181_gamma.Butyrobetaine"
"C00064_Gln"
"C00025_Glu"
"C00489_Glutarate"
"C00037_Gly"
"C02155_Gly.Leu"
"C03139_Guanidinosuccinate"
"C00387_Guanosine"
"C01585_Hexanoate"
"C00135_His"
"C00388_Histamine"
"C00263_Homoserine"
"C01015_Hydroxyproline"
"C00407_Ile"
"C00294_Inosine"
"C05771_Isopropanolamine"
"C00186_Lactate"
"C00123_Leu"
"C00047_Lys"
"C00711_Malate"
"C00073_Met"
"C02989_Methionine.sulfoxide"
"C01026_N.N.Dimethylglycine"
"C03413_N1.N12.Diacetylspermine"
"N1.N8.Diacetylspermidine"
"C00612_N1.Acetylspermidine"
"C03793_N6.N6.N6.Trimethyllysine"
"C01029_N8.Acetylspermidine"
"C01042_N.Acetylaspartate"
"C00140_N.Acetylglucosamine"
"C04501_N.Acetylglucosamine.1.phosphate"
"C00624_N.Acetylglutamate"
"C02997_N.Acetylhistidine"
"C00437_N.Acetylornithine"
"C02714_N.Acetylputrescine"
"C00003_NAD."
"C02727_N.epsilon.Acetyllysine"
"C00153_Nicotinamide"
"C02571_o.Acetylcarnitine"
"C00077_Ornithine"
"C00803_Valerate"
"C00079_Phe"
"C00408_Pipecolate"
"C00148_Pro"
"C10172_Proline.betaine"
"C00163_Propionate"
"C00134_Putrescine"
"C00534_Pyridoxamine"
"C00449_Saccharopine"
"C00019_SAM."
"C00213_Sarcosine"
"SDMA"
"C00065_Ser"
"C00315_Spermidine"
"C00042_Succinate"
"C00245_Taurine"
"C00188_Thr"
"C00178_Thymine"
"C00078_Trp"
"C00082_Tyr"
"C00483_Tyramine"
"C00043_UDP.N.acetylglucosamine"
"C00105_UMP"
"C00086_Urea"
"C00183_Val"
"C02356_2AB"
"C02630_2.Hydroxyglutarate"
"C05145_3.Aminoisobutyrate"
"C08262_Isovalerate"
"C01152_3.Methylhistidine"
"C05135_4..beta.Acetylaminoethyl.imidazole"
"C00847_4.Pyridoxate"
"C00430_5.Aminolevulinate"
"C00431_5.Aminovalerate"
"C05635_5.Hydroxyindoleacetate"
"C16741_5.Hydroxylysine"
"C00170_5.Methylthioadenosine"
"C01879_5.Oxoproline"
"C02242_7.Methylguanine"
