rank,class_id,class_name,probability
1,464,buckle,0.9896418452262878
2,599,honeycomb,0.001377376145683229
3,893,wallet,0.0012880524154752493
4,868,tray,0.0007607007282786071
5,636,mailbag,0.0007578853401355445
