Methods,median value,IQR of values,median time (IQR)
BOOOM,145.3178,5.0502,3601.00 (2.41)
BOOOM parallel,145.3178,5.0502,347.04 (176.57)
SDP,87.7655,20.7423,10.79 (1.29)
