Methods,median value,IQR of values,median time (IQR)
BOOOM,25.6440,10.0385,118.19 (203.12)
BOOOM parallel,25.6440,10.0385,20.00 (33.73)
SDP,13.1205,6.2606,1.50 (0.60)
